date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
2016-05-23,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-07-13,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-07-29,,,,,,,,,,,,,,,,<,E,<,,,,,,
2016-08-18,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-09-08,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-10-06,,,,,,,,,,,,,,,,<,,,,,,,,
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-29,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-12-21,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-01-19,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-03-01,,,,,,,,,,,,,,,,<,,,,,,,,
2017-03-14,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-04-27,,,,,,,,,,,,,,,,,,<,,,,,,
2017-05-10,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-15,,,,,,,,,,,,,,,,<,,,,,,,,
2017-06-28,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-07-20,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-08-21,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-09-07,,,,,,,,,,,,,,,,<,,,,,,,,
2017-10-05,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-10-26,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-11-14,,,,,,,,,,,,,,,,<,,<,,,,,,
2017-11-30,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-01-11,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-02-08,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-03-07,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-04-11,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-04-27,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-05-08,,,,,,,,,,,,,,,,,,<,,,,,,
2018-06-15,,,,,,,,,,,,,,,,<,,,,,,,,
2018-07-24,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-08-08,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-09-06,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-10-10,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-10-31,,,,,,,,,,,,,,,,<,,,,,,,,
2018-11-06,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-11-20,,,,,,,,,,,,,,,,<,,<,,,,,,
2018-12-18,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-02-14,,,,,,,,,,,,,,,,,,<,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,<,,,,,,
2019-04-10,,,,,,,,,,,,,,,,,,<,,,,,,
2019-04-23,,,,,,,,,,,,,,,,<,,,,,,,,
2019-05-10,,,,,,,,,,,,,,,,,,<,,,,,,
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-26,,,,,,,,,,,,,,,,,,<,,,,,,
2019-08-14,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-08-28,,,,,,,,,,,,,,,,,,<,,,,,,
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-10-08,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-10-24,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-11-06,,,,,,,,,,,,,,,,<,,<,,,,,,
2019-12-05,,,,,,,,,,,,,,,,<,,,,,,,,
2019-12-26,,,,,,,,,,,,,,,,<,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,
